endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
categories,POST,1,0.00736689567565918,0.0,45.4
categories,POST,5,0.002028799057006836,16.66,45.4
categories,POST,8,0.0018380284309387207,4.1625,45.39999999999999
categories,POST,10,0.0018921852111816405,12.5,45.39999999999999
categories,POST,20,0.0020033955574035645,19.0,45.399999999999984
categories,POST,30,0.0018574078877766928,6.320000000000001,45.400000000000006
categories,POST,40,0.0018264830112457275,8.2075,45.40000000000003
categories,POST,50,0.0018131446838378907,5.902,45.400000000000034
categories,POST,100,0.0018123483657836914,7.501000000000001,45.40000000000002
categories,PUT,1,0.0019500255584716797,0.0,45.4
categories,PUT,5,0.0019176483154296875,11.86,45.4
categories,PUT,8,0.0019950568675994873,22.924999999999997,45.39999999999999
categories,PUT,10,0.002764582633972168,26.090000000000003,45.39999999999999
categories,PUT,20,0.002216827869415283,21.37,45.40499999999999
categories,PUT,30,0.0024181524912516277,27.95,45.5
categories,PUT,40,0.0020648717880249025,12.925,45.5
categories,PUT,50,0.0022436857223510744,17.464,45.5
categories,PUT,100,0.00229616641998291,18.304,45.5
categories,DELETE,1,0.0024099349975585938,16.7,45.5
categories,DELETE,5,0.0024472713470458985,25.34,45.5
categories,DELETE,8,0.002491682767868042,15.1,45.5
categories,DELETE,10,0.0023907184600830077,29.660000000000004,45.5
categories,DELETE,20,0.00239107608795166,30.110000000000003,45.5
categories,DELETE,30,0.0022840102513631186,18.080000000000002,45.51666666666665
categories,DELETE,40,0.0019428789615631103,17.6075,45.59999999999997
categories,DELETE,50,0.0018018770217895508,8.306000000000001,45.599999999999966
categories,DELETE,100,0.001775813102722168,9.529,45.59999999999998
