endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
categories/projects,POST,1,0.00894618034362793,7.1,55.3
categories/projects,POST,5,0.0022396087646484376,8.34,55.3
categories/projects,POST,8,0.0019692182540893555,11.4625,55.300000000000004
categories/projects,POST,10,0.0019500255584716797,9.5,55.3
categories/projects,POST,20,0.001956450939178467,3.8600000000000003,55.299999999999976
categories/projects,POST,30,0.0019994258880615236,8.843333333333332,55.29999999999997
categories/projects,POST,40,0.0020955443382263184,12.635000000000002,55.299999999999976
categories/projects,POST,50,0.0018476200103759765,9.702,55.30000000000002
categories/projects,POST,100,0.0019179034233093263,8.354000000000001,55.3000000000001
categories/projects,DELETE,1,0.0017940998077392578,16.7,55.3
categories/projects,DELETE,5,0.001853179931640625,0.0,55.3
categories/projects,DELETE,8,0.0018623769283294678,3.125,55.300000000000004
categories/projects,DELETE,10,0.0018272161483764648,12.33,55.3
categories/projects,DELETE,20,0.0018324732780456543,5.335,55.299999999999976
categories/projects,DELETE,30,0.0018341938654581706,7.833333333333333,55.29999999999997
categories/projects,DELETE,40,0.0018176376819610597,7.755,55.299999999999976
categories/projects,DELETE,50,0.0018871355056762696,11.866,55.30000000000002
categories/projects,DELETE,100,0.002111566066741943,11.638,55.3000000000001
