endpoint,method,nb_requests,avg_time_per_request,cpu_usage,memory_usage
todos/tasksof,POST,1,0.008075952529907227,8.3,52.1
todos/tasksof,POST,5,0.0024399757385253906,5.0,52.1
todos/tasksof,POST,8,0.0020179450511932373,21.25,52.10000000000001
todos/tasksof,POST,10,0.0026128530502319337,5.25,52.10000000000001
todos/tasksof,POST,20,0.0019836902618408205,5.0,52.10000000000001
todos/tasksof,POST,30,0.0021128257115681968,13.366666666666665,52.09999999999998
todos/tasksof,POST,40,0.0021268367767333985,13.415000000000001,52.099999999999966
todos/tasksof,POST,50,0.002347302436828613,12.797999999999996,52.09999999999995
todos/tasksof,POST,100,0.002280008792877197,12.987,52.10000000000003
todos/tasksof,DELETE,1,0.0021071434020996094,0.0,52.1
todos/tasksof,DELETE,5,0.0020647525787353517,4.0,52.1
todos/tasksof,DELETE,8,0.0019423365592956543,6.25,52.10000000000001
todos/tasksof,DELETE,10,0.0022396564483642576,10.36,52.10000000000001
todos/tasksof,DELETE,20,0.002110719680786133,6.834999999999999,52.10000000000001
todos/tasksof,DELETE,30,0.002021940549214681,6.696666666666668,52.09999999999998
todos/tasksof,DELETE,40,0.0021254122257232666,12.115,52.10999999999997
todos/tasksof,DELETE,50,0.002131524085998535,15.22,52.10399999999995
todos/tasksof,DELETE,100,0.002284245491027832,7.7139999999999995,52.10000000000003
